region,variety,process,moisture,elevation,target
huila,Caturra,Washed / Wet,0.0000,low,good
huila,Caturra,Washed / Wet,0.1100,low,good
huila,Caturra,Washed / Wet,0.1200,high,good
huila,Caturra,Washed / Wet,0.0000,high,fair
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.1200,low,good
huila,Caturra,Washed / Wet,0.0000,high,fair
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.0000,high,fair
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.0000,high,fair
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.0000,high,fair
huila,Caturra,Washed / Wet,0.0000,high,fair
huila,Caturra,Washed / Wet,0.0000,high,poor
huila,Caturra,Washed / Wet,0.0000,high,great
huila,Caturra,Washed / Wet,0.0000,high,great
huila,Caturra,Washed / Wet,0.0000,high,great
huila,Caturra,Washed / Wet,0.1200,high,great
huila,Caturra,Washed / Wet,0.1100,high,great
huila,Caturra,Washed / Wet,0.0000,high,great
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.0000,high,great
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.1200,high,good
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.0000,high,fair
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.0000,low,fair
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.1200,high,good
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Other,Washed / Wet,0.1200,mid,fair
huila,Other,Washed / Wet,0.1100,mid,good
huila,Other,Washed / Wet,0.0000,mid,fair
huila,Other,Washed / Wet,0.0000,mid,good
