country,variety,process,moisture,target
Guatemala,Bourbon,Washed / Wet,0.1000,great
Guatemala,Bourbon,Washed / Wet,0.1200,great
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.1100,fair
Guatemala,Bourbon,Washed / Wet,0.1100,fair
Guatemala,Caturra,Natural / Dry,0.1000,great
Guatemala,Caturra,Washed / Wet,0.1000,good
Guatemala,Caturra,Washed / Wet,0.1000,good
Guatemala,Caturra,Washed / Wet,0.1100,good
Guatemala,Caturra,Washed / Wet,0.1100,good
Guatemala,Caturra,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.0900,fair
Guatemala,Caturra,Washed / Wet,0.1000,fair
Guatemala,Caturra,Washed / Wet,0.1000,good
Guatemala,Caturra,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1200,good
Guatemala,Bourbon,Washed / Wet,0.1200,fair
Guatemala,Catuai,Washed / Wet,0.1100,good
Guatemala,Bourbon,Natural / Dry,0.1100,fair
Guatemala,Bourbon,Washed / Wet,0.1200,fair
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1100,great
Guatemala,Caturra,Washed / Wet,0.0000,great
Guatemala,Caturra,Washed / Wet,0.1000,great
Guatemala,Caturra,Washed / Wet,0.1100,good
Guatemala,Caturra,Washed / Wet,0.1200,great
Guatemala,Caturra,Washed / Wet,0.1100,good
Guatemala,Caturra,Washed / Wet,0.1200,poor
Guatemala,Pacamara,Natural / Dry,0.1100,good
Guatemala,Pacamara,Washed / Wet,0.0900,fair
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1100,fair
Guatemala,Pacas,Washed / Wet,0.1300,fair
Guatemala,Pacas,Washed / Wet,0.1200,good
Guatemala,Pacas,Washed / Wet,0.1100,great
Guatemala,Pacas,Washed / Wet,0.1200,fair
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.0900,poor
Guatemala,Bourbon,Washed / Wet,0.1000,great
Guatemala,Catuai,Washed / Wet,0.1000,great
Guatemala,Catuai,Washed / Wet,0.1100,good
Guatemala,Catuai,Washed / Wet,0.1100,good
Guatemala,Catuai,Washed / Wet,0.1100,poor
Guatemala,Catuai,Washed / Wet,0.1000,poor
Guatemala,Pacas,Washed / Wet,0.1100,fair
Guatemala,Pacas,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Caturra,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Natural / Dry,0.1000,great
Guatemala,Bourbon,Natural / Dry,0.1000,good
Guatemala,Bourbon,other,0.1000,great
Guatemala,Bourbon,other,0.1000,great
Guatemala,Bourbon,Washed / Wet,0.1100,great
Guatemala,Bourbon,Washed / Wet,0.0900,great
Guatemala,Bourbon,Washed / Wet,0.1100,great
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1000,great
Guatemala,Bourbon,Washed / Wet,0.1100,great
Guatemala,Bourbon,Washed / Wet,0.1200,good
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1100,great
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.0000,fair
Guatemala,Bourbon,Washed / Wet,0.1100,fair
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.1200,good
Guatemala,Bourbon,Washed / Wet,0.1100,great
Guatemala,Bourbon,Washed / Wet,0.0000,fair
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1200,poor
Guatemala,Bourbon,Washed / Wet,0.1200,poor
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1200,fair
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1200,fair
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.0000,poor
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1000,poor
Guatemala,Bourbon,Washed / Wet,0.1200,poor
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1100,poor
Guatemala,Caturra,Natural / Dry,0.1100,great
Guatemala,Caturra,Washed / Wet,0.1100,poor
Guatemala,Caturra,Washed / Wet,0.1200,poor
Guatemala,Caturra,Washed / Wet,0.1200,good
Guatemala,Other,Washed / Wet,0.1000,poor
Guatemala,Other,Washed / Wet,0.1200,poor
Guatemala,Other,Washed / Wet,0.1200,poor
Guatemala,Other,Washed / Wet,0.1000,poor
Guatemala,Other,Washed / Wet,0.1000,poor
Guatemala,Other,Washed / Wet,0.1000,poor
Guatemala,Other,Washed / Wet,0.1200,fair
Guatemala,Other,Washed / Wet,0.1100,poor
Guatemala,Caturra,Washed / Wet,0.1100,good
Guatemala,Caturra,Washed / Wet,0.1000,fair
Guatemala,Caturra,Washed / Wet,0.1100,poor
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1200,poor
Guatemala,Bourbon,Washed / Wet,0.1100,fair
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.1300,great
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1100,good
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1200,good
Guatemala,Bourbon,Washed / Wet,0.1000,poor
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Catuai,Washed / Wet,0.1000,poor
Guatemala,Catuai,Washed / Wet,0.0900,great
Guatemala,Bourbon,Washed / Wet,0.1200,poor
Guatemala,Bourbon,Washed / Wet,0.1000,good
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1000,fair
Guatemala,Bourbon,Washed / Wet,0.1100,fair
Guatemala,Caturra,Washed / Wet,0.1000,good
Guatemala,Caturra,Washed / Wet,0.1100,good
Guatemala,Caturra,Washed / Wet,0.1000,poor
Guatemala,Caturra,Washed / Wet,0.1000,great
Haiti,Typica,Natural / Dry,0.1400,poor
Haiti,Blue Mountain,Washed / Wet,0.1100,poor
Haiti,Typica,Washed / Wet,0.1000,poor
Haiti,Typica,Washed / Wet,0.1200,poor
Haiti,Typica,Washed / Wet,0.1100,fair
Honduras,Catuai,Natural / Dry,0.1300,poor
Honduras,Catuai,Natural / Dry,0.1300,poor
Honduras,Catuai,Washed / Wet,0.1100,great
Honduras,Caturra,Natural / Dry,0.1000,fair
Honduras,Caturra,Natural / Dry,0.1100,good
Honduras,Caturra,Natural / Dry,0.0900,fair
Honduras,Caturra,Natural / Dry,0.1000,fair
Honduras,Caturra,Natural / Dry,0.1000,poor
Honduras,Caturra,Natural / Dry,0.1000,poor
Honduras,Caturra,Washed / Wet,0.1000,fair
Honduras,Caturra,Washed / Wet,0.1100,fair
Honduras,Caturra,Washed / Wet,0.1000,fair
Honduras,Caturra,Washed / Wet,0.1000,great
Honduras,Caturra,Washed / Wet,0.1000,good
Honduras,Caturra,Washed / Wet,0.1000,good
Honduras,Caturra,Washed / Wet,0.1100,fair
Honduras,Caturra,Washed / Wet,0.1200,fair
Honduras,Other,Washed / Wet,0.1200,good
Honduras,Caturra,Washed / Wet,0.1200,fair
Honduras,Caturra,Natural / Dry,0.1000,fair
Honduras,Pacas,Natural / Dry,0.1100,poor
Honduras,Pacas,Natural / Dry,0.1100,poor
Honduras,Pacas,Washed / Wet,0.1100,poor
Honduras,Pacas,Washed / Wet,0.1100,poor
